species,longitude,latitude,ed_c10_Cropland,pland_c10_Cropland,ed_c20_Forest_land,pland_c20_Forest_land,ed_c30_Grassland,pland_c30_Grassland,ed_c40_Shrubland,pland_c40_Shrubland,ed_c50_Wetland,pland_c50_Wetland,ed_c60_Water_bodies,pland_c60_Water_bodies,ed_c70_Tundra,pland_c70_Tundra,ed_c80_Impervious_surfaces,pland_c80_Impervious_surfaces,ed_c90_Bare_land,pland_c90_Bare_land,ed_c100_Permanent_snow_and_glaciers,pland_c100_Permanent_snow_and_glaciers,gpp_mean,gpp_sd,elevation_mean,elevation_sd,temp_mean,temp_sd,pre_mean,pre_sd,rh_mean,rh_sd,bird_abundance_mean,bird_abundance_sd
H5N1,-81.32333151286237,28.51449999200252,55622.663620889565,1.698867421718854,408270.3509773294,42.205196535642905,50802.0327737458,1.4323784143904064,20394.97666099284,0.4663557628247834,94187.71039803968,3.164556962025316,41902.406594403474,4.063957361758827,0,0,384167.19674161053,46.96868754163891,0,0,0,0,131.9720458984375,29.328580856323242,27.44186019897461,9.169734001159668,19.466506958007813,0.11507132649421692,0.0010290032951161265,1.101023008232005e-4,62.85942077636719,0.8524186015129089,14.790657043457031,1.58110773563385
H5N1,-92.53144720632595,41.68636330545901,38062.66038025697,98.3647175421209,17100.61553315893,0.4955401387512388,4413.062073073272,0.09910802775024777,0,0,0,0,0,0,0,0,18755.513810561406,1.0406342913776014,0,0,0,0,10.746630668640137,0.7349505424499512,277.38671875,15.049986839294434,-0.9323980808258057,0.20003801584243774,0.0018339557573199272,1.1922290286747739e-4,75.54242706298828,0.20584775507450104,12.58585262298584,1.5541449785232544
H5N1,-93.57339362991027,41.68530667134917,276452.19514538033,63.127962085308056,137698.51704760364,5.971563981042655,120288.35971974568,4.1232227488151665,2110.322100346417,0.047393364928909956,0,0,20048.059953290955,0.9952606635071091,0,0,226332.045262153,25.734597156398102,0,0,0,0,12.47226333618164,2.9999639987945557,273.7672424316406,19.881694793701172,-0.9001339077949524,0.2038138508796692,0.0011640758020803332,7.123559771571308e-5,75.2662124633789,0.3475915193557739,59.872291564941406,26.558218002319336
H5N1,-93.26082037056457,43.08148244267537,45238.69001758559,97.14562167392356,10771.116670853713,0.2902757619738751,2154.223334170743,0.04837929366231252,0,0,0,0,16156.675006280564,0.8708272859216255,0,0,26927.79167713428,1.6448959845186257,0,0,0,0,9.29732894897461,0.6285602450370789,356.051025390625,16.556684494018555,-3.024874210357666,0.1817244440317154,0.0012283335672691464,6.151164416223764e-5,77.455078125,0.2530689537525177,16.637836456298828,5.555184841156006
H5N1,-80.8327649965187,35.246577673363326,10157.978225902518,0.2683843263553409,433207.8949281957,38.378958668813745,11950.562618708856,0.2683843263553409,4780.225047483543,0.10735373054213634,20913.484582740482,0.8051529790660227,26291.23776115946,2.6838432635534084,0,0,427232.6136188413,57.48792270531401,0,0,0,0,64.05770111083984,11.751710891723633,216.63995361328125,18.44255828857422,14.198803901672363,0.20553496479988098,0.001556159695610404,2.3365853121504188e-4,41.664756774902344,2.201749801635742,11.647835731506348,1.4941710233688354
H5N1,-80.8327649965187,35.246577673363326,10157.978225902518,0.2683843263553409,433207.8949281957,38.378958668813745,11950.562618708856,0.2683843263553409,4780.225047483543,0.10735373054213634,20913.484582740482,0.8051529790660227,26291.23776115946,2.6838432635534084,0,0,427232.6136188413,57.48792270531401,0,0,0,0,35.35209274291992,5.9238786697387695,216.63995361328125,18.44255828857422,8.858673095703125,0.23911155760288239,0.002494201995432377,1.482193183619529e-4,59.46229553222656,1.054378628730774,13.662007331848145,1.78633451461792
H5N1,-80.8327649965187,35.246577673363326,10157.978225902518,0.2683843263553409,433207.8949281957,38.378958668813745,11950.562618708856,0.2683843263553409,4780.225047483543,0.10735373054213634,20913.484582740482,0.8051529790660227,26291.23776115946,2.6838432635534084,0,0,427232.6136188413,57.48792270531401,0,0,0,0,35.35209274291992,5.9238786697387695,216.63995361328125,18.44255828857422,8.858673095703125,0.23911155760288239,0.002494201995432377,1.482193183619529e-4,59.46229553222656,1.054378628730774,13.662007331848145,1.78633451461792
H5N1,-76.25164843511958,35.530611206833356,183082.47585448434,11.244497799119648,343892.1444274012,62.2248899559824,0,0,1781.824582525393,0.040016006402561026,205355.28313605164,9.523809523809524,162591.49315544224,16.646658663465388,0,0,12027.31593204641,0.3201280512204882,0,0,0,0,54.34309387207031,25.908294677734375,5.23569393157959,3.2252609729766846,3.459474563598633,0.4223564863204956,0.0019408620428293943,2.0746338122989982e-4,62.684261322021484,1.6708085536956787,201.32958984375,74.05072021484375
H5N1,-112.49318811265708,33.348271770278295,84536.22966965109,6.958593776979659,2383.4680488942095,0.10360189246123562,13570.390665478322,0.4558483268294367,168688.02900883535,79.53517284249058,0,0,2498.797148034252,0.13122906378423177,0,0,106218.10030797905,12.774113340470352,1614.6073879605935,0.04144075698449425,0,0,14.942790985107422,10.117836952209473,496.8861999511719,256.3706359863281,14.08206558227539,1.328989863395691,3.1624466600987944e-7,1.0925720062004984e-6,26.519182205200195,2.0341103076934814,10.948251724243164,17.543907165527344
H5N1,-106.87888178113658,44.79083564036288,100856.37875198596,6.156617569142735,68535.1532805893,24.329765815407438,178710.42550790496,68.49634417717493,5898.033845145378,0.1695454063791459,0,0,0,0,6487.837229659916,0.41326692804916815,8729.09009081516,0.43446010384656136,0,0,0,0,12.050189971923828,5.728822231292725,1571.781005859375,548.26397705078125,-0.625464141368866,1.8683785200119019,6.555356667377055e-4,4.048488917760551e-4,63.75497817993164,4.324357986450195,4.434628009796143,4.0193963050842285
