species_code	order	scientific_name	common_name	is_resident	breeding_quality	breeding_start	breeding_end	nonbreeding_quality	nonbreeding_start	nonbreeding_end	postbreeding_migration_quality	postbreeding_migration_start	postbreeding_migration_end	prebreeding_migration_quality	prebreeding_migration_start	prebreeding_migration_end	resident_quality	resident_start	resident_end	status_version_year	has_trends	trends_season	trends_region	trends_start_year	trends_end_year	trends_start_date	trends_end_date	rsquared	beta0	trends_version_year
glagul	Charadriiformes	Larus hyperboreus	Glaucous Gull	FALSE	2	2023-06-14	2023-07-26	2	2023-12-27	2023-02-01	2	2023-10-04	2023-12-20	2	2023-02-08	2023-06-07	NA	NA	NA	2023	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA
lbbgul	Charadriiformes	Larus fuscus	Lesser Black-backed Gull	FALSE	2	2023-06-07	2023-07-05	3	2023-12-13	2023-02-01	2	2023-07-12	2023-12-06	2	2023-02-08	2023-05-31	NA	NA	NA	2023	TRUE	nonbreeding	north_america	2011	2021	12-13	03-01	0.5423982045247946	1.2494486771899214	2022
calgul	Charadriiformes	Larus californicus	California Gull	FALSE	3	2023-05-10	2023-07-26	3	2023-12-27	2023-02-01	3	2023-08-02	2023-12-20	3	2023-02-08	2023-05-03	NA	NA	NA	2023	TRUE	breeding	north_america	2012	2022	05-17	06-21	0.673954108760779	0.6133756023990065	2022
glwgul	Charadriiformes	Larus glaucescens	Glaucous-winged Gull	FALSE	2	2023-05-31	2023-08-09	3	2023-12-06	2023-03-22	2	2023-08-16	2023-11-29	2	2023-03-29	2023-05-24	NA	NA	NA	2023	TRUE	nonbreeding	north_america	2011	2021	12-06	03-01	0.723042699247982	0.31975401237193146	2022
slbgul	Charadriiformes	Larus schistisagus	Slaty-backed Gull	FALSE	2	2023-06-07	2023-06-21	2	2023-11-01	2023-03-29	2	2023-07-26	2023-10-25	2	2023-04-05	2023-05-31	NA	NA	NA	2023	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA
y00478	Charadriiformes	Larus glaucoides	Iceland Gull	FALSE	3	2023-06-07	2023-08-09	3	2023-12-06	2023-02-01	3	2023-08-30	2023-11-29	3	2023-02-08	2023-05-31	NA	NA	NA	2023	TRUE	nonbreeding	north_america	2011	2021	12-06	02-08	0.651727466884637	0.3868454333101273	2022
blkski	Charadriiformes	Rynchops niger	Black Skimmer	FALSE	3	2023-05-31	2023-08-02	3	2023-12-27	2023-03-22	3	2023-08-09	2023-12-20	3	2023-03-29	2023-05-24	NA	NA	NA	2023	TRUE	breeding	north_america	2012	2022	06-07	08-02	0.6901419735818028	0.3658871366367063	2022
litter1	Charadriiformes	Sternula albifrons	Little Tern	FALSE	2	2023-05-24	2023-07-26	2	2023-11-29	2023-03-01	2	2023-08-02	2023-11-22	2	2023-03-08	2023-05-17	NA	NA	NA	2023	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA
gubter2	Charadriiformes	Gelochelidon nilotica	Gull-billed Tern	FALSE	2	2023-05-24	2023-06-28	2	2023-10-25	2023-03-08	2	2023-07-05	2023-10-18	2	2023-03-15	2023-05-17	NA	NA	NA	2023	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA
caster1	Charadriiformes	Hydroprogne caspia	Caspian Tern	FALSE	2	2023-06-07	2023-06-28	3	2023-11-22	2023-03-01	2	2023-07-05	2023-11-15	2	2023-03-08	2023-05-31	NA	NA	NA	2023	TRUE	breeding	north_america	2012	2022	05-31	07-12	0.6250163653602054	0.5420718343541302	2022
whiter2	Charadriiformes	Chlidonias hybrida	Whiskered Tern	FALSE	2	2023-05-31	2023-07-12	2	2023-11-22	2023-03-22	2	2023-07-19	2023-11-15	2	2023-03-29	2023-05-24	NA	NA	NA	2023	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA
blkter	Charadriiformes	Chlidonias niger	Black Tern	FALSE	2	2023-06-07	2023-06-21	2	2023-11-15	2023-03-01	2	2023-06-28	2023-11-08	2	2023-03-08	2023-05-31	NA	NA	NA	2023	TRUE	breeding	north_america	2012	2022	06-07	06-28	0.7546341452858565	0.43835651747224896	2022
forter	Charadriiformes	Sterna forsteri	Forster's Tern	FALSE	3	2023-06-07	2023-06-28	2	2023-12-13	2023-03-08	3	2023-07-05	2023-12-06	3	2023-03-15	2023-05-31	NA	NA	NA	2023	TRUE	breeding	north_america	2012	2022	06-07	07-12	0.7328903997238718	1.1428913723886591	2022
soater1	Charadriiformes	Sterna hirundinacea	South American Tern	FALSE	3	2023-12-06	2023-03-22	2	2023-07-12	2023-07-26	3	2023-03-29	2023-07-05	3	2023-08-02	2023-11-29	NA	NA	NA	2023	TRUE	breeding	south_america	2014	2021	12-06	03-22	0.4835734516351659	1.23343721349214	2022
comter	Charadriiformes	Sterna hirundo	Common Tern	FALSE	2	2023-06-07	2023-07-19	2	2023-12-20	2023-02-22	2	2023-07-26	2023-12-13	2	2023-03-01	2023-05-31	NA	NA	NA	2023	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA
santer1	Charadriiformes	Thalasseus sandvicensis	Sandwich Tern	FALSE	2	2023-04-19	2023-06-07	2	2023-12-20	2023-02-15	2	2023-06-14	2023-12-13	2	2023-02-22	2023-04-12	NA	NA	NA	2023	TRUE	breeding	north_america	2012	2022	05-03	07-05	0.6124334807811277	1.096161872238831	2022
eleter1	Charadriiformes	Thalasseus elegans	Elegant Tern	FALSE	3	2023-04-12	2023-06-14	3	2023-01-04	2023-02-08	3	2023-06-21	2023-12-27	3	2023-02-15	2023-04-05	NA	NA	NA	2023	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA
royter1	Charadriiformes	Thalasseus maximus	Royal Tern	FALSE	3	2023-05-10	2023-07-26	3	2023-12-06	2023-02-22	3	2023-08-02	2023-11-29	3	2023-03-01	2023-05-03	NA	NA	NA	2023	TRUE	breeding	north_america	2012	2022	05-10	07-26	0.6174769577000762	0.6739584672781308	2022
