name	date	location
HA|A/goose/Croatia/107/2021|EPI1942304	2021-11-18	North-Central
HA|A/oystercatcher/Germany-NI/AI05047/2021|EPI1943854	2021-07-17	North-Central
HA|A/white-tailed_eagle/Sweden/SVA220412SZ0583/FB001304/AC-2022|EPI2068993	2022-03-31	North-Eastern
HA|A/Northern_gannet/Sweden/SVA220525SZ0402/FB001671/O-2022|EPI2069014	2022-05-25	North-Eastern
HA|A/Barnacle_goose/Sweden/SVA220428SZ0404/FB001285/H-2022|EPI2068968	2022-04-23	North-Eastern
HA|A/European_herring_gull/Sweden/SVA220422SZ0382/FB001241/G-2022|EPI2068960	2022-04-29	North-Eastern
HA|A/European_Herring_Gull/_Sweden/SVA211221SZ0503/FB004873/M-2021|EPI1994334	2021-12-21	North-Eastern
HA|2022-wk04-03_HA_H5|EPI1965221	2022-01-07	North-Central
HA|2022-wk04-02_HA_H5|EPI1965213	2022-01-06	North-Central
HA|2022-wk04-05_HA_H5|EPI1965229	2022-01-17	North-Central
HA|A/turkey/Germany-NI/AI04373/2021|EPI1943845	2021-04-27	North-Central
HA|A/barnacle_goose/Germany-NI/AI03980/2021|EPI1943846	2021-04-14	North-Central
HA|A/turkey/Germany-NI/AI04425/2021|EPI1943844	2021-05-03	North-Central
HA|A/turkey/Italy/21VIR11804-1/2021_HA|EPI1961993	2021-12-27	South-Western
HA|A/turkey/Italy/21VIR11586-2/2021_HA|EPI1961985	2021-12-23	South-Western
HA|A/laying_hen/Italy/21VIR11502/2021_HA|EPI1962041	2021-12-21	South-Western
HA|A/turkey/Italy/21VIR11591-8/2021_HA|EPI1962025	2021-12-23	South-Western
HA|A/turkey/Italy/21VIR11887-3/2021_HA|EPI1962017	2021-12-29	South-Western
HA|A/chicken/Italy/21VIR10850/2021_HA|EPI1962001	2021-12-06	South-Western
HA|2022-wk08-08_HA_H5|EPI1988037	2022-02-02	North-Central
HA|2022-wk08-07_HA_H5|EPI1988029	2022-01-29	North-Central
HA|2022-wk08-10_HA_H5|EPI1988053	2022-02-18	North-Central
HA|2022-wk08-09_HA_H5|EPI1988045	2022-02-03	North-Central
HA|2022-wk05-04_HA_H5|EPI1970954	2021-12-30	North-Central
HA|A/turkey/Denmark/24325-25/2021-10-30|EPI2012867	2021-10-30	North-Eastern
HA|A/gray_heron/Denmark/24326-1.02/2021-10-28|EPI2015069	2021-10-28	North-Eastern
HA|A/greylag_goose/Denmark/24309-1.01/2021-10-27|EPI2015077	2021-10-27	North-Eastern
HA|A/greylag_goose/Denmark/24343-1.02/2021-11-01|EPI2015085	2021-11-01	North-Eastern
HA|A/turkey/Italy/21VIR11053-1/2021_HA|EPI1962049	2021-12-13	South-Western
HA|A/Mute_Swan/Sweden/SVA220103SZ0264/FB000005/AB-2022|EPI1994426	2022-01-01	North-Eastern
HA|A/barnacle/goose_Denmark/19027-1.02/2021-04-18|EPI2011624	2021-04-18	North-Eastern
HA|A/Eurasian_wigeon/Denmark/24066-9/2021-10-13|EPI2012875	2021-10-13	North-Eastern
HA|A/Eurasian_wigeon/Denmark/24279-1/2021-10-24|EPI2015053	2021-10-24	North-Eastern
HA|A/European_herring_gull/Denmark/19968-1.02/2021-05-14|EPI2015061	2021-05-14	North-Eastern
HA|A_barnacle_goose_Denmark_24273-1.02_2021-10-26|EPI2011632	2021-10-26	North-Eastern
HA|A/barnacle_goose/Denmark/24342-1.02/2021-10-30|EPI2011640	2021-10-30	North-Eastern
HA|A/turkey/Italy/21VIR11803-1/2021_HA|EPI1962057	2021-12-27	South-Western
HA|A/common_buzzard/Denmark/24271-1.02/2021-10-25|EPI2011656	2021-10-25	North-Eastern
HA|A/owl/Italy/21VIR11899-1/2021_HA|EPI1962113	2021-12-27	South-Western
HA|A/heron/Italy/21VIR10998-1/2021_HA|EPI1962105	2021-12-09	South-Western
HA|A/seagull/Italy/21VIR11259-10/2021_HA|EPI1962097	2021-12-15	South-Western
HA|A/magpie/Italy/21VIR11656/2021_HA|EPI1962081	2021-12-16	South-Western
HA|A/little_owl/Italy/21VIR11382-1/2021_HA|EPI1962065	2021-12-13	South-Western
HA|A/seagull/Italy/21VIR11259-12/2021_HA|EPI1962134	2021-12-15	South-Western
HA|A/owl/Italy/21VIR11057/2021_HA|EPI1962126	2021-12-13	South-Western
HA|A/Northern_goshawk/Sweden/SVA220525SZ0403/FB001672/N-2022|EPI2069030	2022-05-03	North-Eastern
HA|23458-21_2T_H5|EPI1980411	2021-11-26	North-Central
HA|22608-21_1T_H5|EPI1980476	2021-11-18	North-Central
HA|23458-21_1K_H5|EPI1980460	2021-11-26	North-Central
HA|22684-21_H5|EPI1980573	2021-11-15	North-Central
HA|22380-21_H5|EPI1980556	2021-11-15	North-Central
HA|22750-21_H5|EPI1980589	2021-11-19	North-Central
HA|25827-21_1_H5|EPI1980637	2021-12-25	North-Central
HA|25690-21_H5|EPI1980621	2021-12-22	North-Central
HA|785-22_H5|EPI1980686	2022-01-10	North-Central
HA|A/duck/Czech_Republic/3306-1/2022|EPI2026058	2022-02-09	North-Central
HA|A/Ciconia_ciconia/Spain/485-2_22VIR6312-1/2022_HA|EPI2105526	2022-02-22	South-Western
HA|2021-wk46-05_HA_H5|EPI1927117	2021-11-14	North-Central
HA|2021-wk46-01_HA_H5|EPI1927093	2021-10-19	North-Central
HA|2021-wk46-02_HA_H5|EPI1927101	2021-11-01	North-Central
HA|2021-wk46-03_HA_H5|EPI1927109	2021-11-02	North-Central
HA|A/Greylag_Goose/Netherlands/1/2022_HA_H5N1_HPAI|EPI1995739	2022-02-02	North-Central
HA|A/Barnacle_Goose/Netherlands/9/2022_HA_H5N1_HPAI|EPI1995661	2022-02-07	North-Central
HA|A/Common_Gull/Netherlands/1/2022_HA_H5N1_HPAI|EPI1995677	2022-02-01	North-Central
HA|A/Barnacle_Goose/Netherlands/13/2022_HA_H5N1_HPAI|EPI1995618	2022-02-23	North-Central
HA|A/Barnacle_Goose/Netherlands/14/2022_HA_H5N1_HPAI|EPI1995629	2022-02-23	North-Central
HA|A/Barnacle_Goose/Netherlands/15/2022_HA_H5N1_HPAI|EPI1995645	2022-02-26	North-Central
HA|A/Barnacle_Goose/Netherlands/10/2022_HA_H5N1_HPAI|EPI1995569	2022-02-07	North-Central
HA|A/mute_swan/Czech_Republic/21312/2021|EPI1927124	2021-11-01	North-Central
HA|A/Caspian_Gull/Netherlands/2/2022_HA_H5N1_HPAI|EPI1995847	2022-02-23	North-Central
HA|A/swan/France/21P012384/2021|EPI1928148	2021-11-08	South-Western
HA|A/barnacle_goose/Sweden/SVA220104SZ0295/FB000013/M-2022|EPI1994458	2021-12-25	North-Eastern
HA|A/chicken/Czech_Republic/3306-2/2022|EPI2026148	2022-02-09	North-Central
HA|A/bean_goose/Sweden/SVA211111SZ0372/FB004482/2021|EPI1938820	2021-11-05	North-Eastern
HA|A/Mute_swan/Netherlands/21037283-002/2021|EPI1924149	2021-10-24	North-Central
HA|A/great_skua/Scotland/B07779/2021|EPI1924131	2021-07-29	North-Central
HA|A/mute_swan/England/053054/2021|EPI1924123	2021-10-24	North-Central
HA|A/pigeon/Germany-NW/AI00951/2022|EPI1987373	2022-01-24	North-Central
HA|A/goose/France/21P014207/2021|EPI1968921	2021-12-23	South-Western
HA|A/goose/Czech_Republic/25322-229/2021|EPI2026156	2021-12-18	North-Central
HA|A/western_jackdaw/Sweden/SVA211111SZ0376/FB004483/2021|EPI1938828	2021-11-08	North-Eastern
HA|A/chicken/Netherlands/21038165-006010/2021|EPI1925532	2021-11-07	North-Central
HA|A/goose/Netherlands/21037720-001/2021|EPI1925548	2021-10-28	North-Central
HA|A/Common_Buzzard/Sweden/SVA211223SZ0343/FB004885/M-2021|EPI1994343	2021-12-23	North-Eastern
HA|A/barnacle_goose/Sweden/SVA220105SZ0248/FB000038/K-2021|EPI1994466	2021-12-18	North-Eastern
HA|A/white-tailed_eagle/Iceland/2022AI02104/2021|EPI2062295	2021-10-25	North-Central
HA|A/goose/France/PPNL-21P007579/2021_HA|EPI2882913	2021-03-17	South-Western
HA|A/Fox/Netherlands/EMC1/2022|EPI2018060	2022-01-26	North-Central
HA|A/European_Herring_Gull/Sweden/SVA211116SZ0432/FB004518/2021|EPI1982529	2021-11-08	North-Eastern
HA|A/laying_hen/Romania/11343_22VIR4106-1/2022_HA|EPI2042013	2022-03-18	North-Central
HA|A/common_buzzard/Sweden/SVA211111SZ0376/FB004484/2021|EPI1938836	2021-11-09	North-Eastern
HA|A/laying_hen/Romania/11562_22VIR4106-4/2022_HA|EPI2042034	2022-03-26	North-Central
HA|A/pelican/Romania/11335_22VIR4106-2/2022_HA|EPI2042020	2022-03-17	North-Central
HA|2022-wk04-01_HA_H5|EPI1965261	2022-01-04	North-Central
HA|A/pelican/Romania/11334_22VIR4106-3/2022_HA|EPI2042027	2022-03-17	North-Central
HA|2022-wk04-04_HA_H5|EPI1965269	2022-01-06	North-Central
HA|A/chicken/Iceland/2022AI02564/2022|EPI2062301	2022-04-14	North-Central
HA|A/barnacle_goose/Sweden/SVA211111SZ0376/FB004496/2021|EPI1938844	2021-11-01	North-Eastern
HA|A/chicken/Czech_Republic/8028-2/2022|EPI2100179	2022-04-13	North-Central
