Sequence ID	Sequence name	Collection date	Region	Database
OQ694870	HA|A/black vulture/South Carolina/W22-1080B/2022|OQ694870	2022-11-02	South	NCBI
OQ694886	HA|A/black vulture/Georgia/W22-1049/2022|OQ694886	2022-10-21	South	NCBI
OQ694894	HA|A/black vulture/Georgia/W22-1057B/2022|OQ694894	2022-11-03	South	NCBI
OQ694902	HA|A/Canada goose/North Carolina/W22-1055/2022|OQ694902	2022-11-01	South	NCBI
OQ694912	HA|A/black vulture/Georgia/W22-1057D/2022|OQ694912	2022-11-03	South	NCBI
OQ694920	HA|A/mallard/North Carolina/W22-1114A/2022|OQ694920	2022-12-01	South	NCBI
OQ694936	HA|A/black vulture/North Carolina/W22-1051A/2022|OQ694936	2022-10-31	South	NCBI
OQ694944	HA|A/black vulture/Tennessee/W22-1150B/2022|OQ694944	2022-12-05	South	NCBI
OQ694952	HA|A/black vulture/Tennessee/W22-1149/2022|OQ694952	2022-12-05	South	NCBI
OQ696052	HA|A/Ross's goose/Kansas/W22-1154/2022|OQ696052	2022-12-05	Central	NCBI
OQ696063	HA|A/red-tailed hawk/Kansas/W22-1155/2022|OQ696063	2022-12-05	Central	NCBI
OQ730456	HA|A/harbor seal/Maine/MME-22-147Pv-L/2022|OQ730456	2022-07-02	Central	NCBI
OQ730471	HA|A/harbor seal/Maine/MME-22-185Pv-L/2022|OQ730471	2022-07-07	Central	NCBI
OQ732964	HA|A/red-tailed hawk/Kentucky/W23-143/2022|OQ732964	2022-12-22	Central	NCBI
OQ732980	HA|A/black vulture/Georgia/W22-933C/2022|OQ732980	2022-09-29	South	NCBI
OQ732988	HA|A/bald eagle/North Carolina/W23-142B/2023|OQ732988	2023-02-19	South	NCBI
OQ733004	HA|A/blue-winged teal/Minnesota/UGAI22-3620/2022|OQ733004	2022-09-15	Central	NCBI
OQ733044	HA|A/black vulture/North Carolina/W22-1079C/2022|OQ733044	2022-11-04	South	NCBI
OQ733052	HA|A/black vulture/Louisiana/W23-119/2023|OQ733052	2023-02-08	South	NCBI
OQ733068	HA|A/bald eagle/South Carolina/W23-142A/2023|OQ733068	2023-02-19	South	NCBI
OQ733084	HA|A/striped skunk/Kansas/W23-094/2023|OQ733084	2023-01-27	Central	NCBI
OQ733092	HA|A/bald eagle/Virginia/W22-101/2023|OQ733092	2023-01-03	Central	NCBI
OQ733116	HA|A/black vulture/Georgia/W22-1056A/2022|OQ733116	2022-11-02	South	NCBI
OQ733124	HA|A/blue-winged teal/Minnesota/UGAI22-3611/2022|OQ733124	2022-09-15	Central	NCBI
OQ733140	HA|A/Canada goose/Virginia/W22-773/2022|OQ733140	2022-09-29	Central	NCBI
OQ734878	HA|A/red-tailed hawk/Kansas/W22-1226/2022|OQ734878	2022-12-05	Central	NCBI
OQ734894	HA|A/American green-winged teal/Texas/UGAI22-3462/2022|OQ734894	2022-09-21	South	NCBI
OQ734902	HA|A/Cooper's hawk/Kansas/W22-1206/2022|OQ734902	2022-12-02	Central	NCBI
OQ734918	HA|A/brown pelican/North Carolina/W23-019/2022|OQ734918	2022-12-20	South	NCBI
OQ734926	HA|A/double-crested cormorant/North Carolina/W22-1215C/2022|OQ734926	2022-12-06	South	NCBI
OQ734937	HA|A/herring gull/North Carolina/W1215B/2022|OQ734937	2022-12-06	South	NCBI
OQ734964	HA|A/black vulture/North Carolina/W22-1213/2022|OQ734964	2022-11-22	South	NCBI
OQ734972	HA|A/bald eagle/Virginia/W22-1222/2022|OQ734972	2022-12-08	Central	NCBI
OQ737761	HA|A/blue-winged teal/Minnesota/UGAI22-3591/2022|OQ737761	2022-09-15	Central	NCBI
OQ851647	HA|A/Pekin duck/California/T2202390/2022|OQ851647	2022-11-14	South	NCBI
OQ954536	HA|A/black vulture/Louisiana/W23-166/2023|OQ954536	2023-02-18	South	NCBI
OQ954544	HA|A/striped skunk/Kansas/W23-175/2023|OQ954544	2023-02-24	Central	NCBI
OQ982388	HA|A/mallard duck/Minnesota/UGAI22-3846/2022|OQ982388	2022-09-14	Central	NCBI
OQ982396	HA|A/bald eagle/North Carolina/W23-012/2022|OQ982396	2022-12-30	South	NCBI
OQ982404	HA|A/blue-winged teal/Louisiana/UGAI22-3889/2022|OQ982404	2022-09-23	South	NCBI
OQ982412	HA|A/blue-winged teal/Minnesota/UGAI22-3834/2022|OQ982412	2022-09-14	Central	NCBI
OQ982420	HA|A/blue-winged teal/Louisiana/UGAI22-3875/2022|OQ982420	2022-09-23	South	NCBI
OR165030	HA|A/common eider/Massachusetts/W22-438D/2022|OR165030	2022-06-23	Central	NCBI
OR165062	HA|A/black vulture/Georgia/W22-406/2022|OR165062	2022-06-23	South	NCBI
OR165070	HA|A/black vulture/Georgia/W22-487/2022|OR165070	2022-07-01	South	NCBI
OP377510	HA|A/great horned owl/Flordia/W22-163A/2022|OP377510	2022-02-24	South	NCBI
OP470724	HA|A/bald eagle/FL/W22-114/2022|OP470724	2022-02-17	South	NCBI
OP470804	HA|A/bald eagle/FL/W22-114/2022|OP470804	2022-02-17	South	NCBI
OP499861	HA|A/Lesser scaup/MD/-LC-EESC-024/2022|OP499861	2022-01-23	Central	NCBI
OQ428779	HA|A/Anas platyrhynchos/AZ/S1-AZMCP12122022-S4/2022|OQ428779	2022-12-12	South	NCBI
OQ694878	HA|A/snow goose/Louisana/W22-1163/2022|OQ694878	2022-12-05	South	NCBI
OQ694928	HA|A/snow goose/Louisana/W22-1146A/2022|OQ694928	2022-12-05	South	NCBI
OQ843965	HA|A/environment/Wright County/Wright-A/2022|OQ843965	2022-04-14	Central	NCBI
OR136516	HA|A/Bald Eagle/OH/OH22-8477/2022|OR136516	2022-03-05	Central	NCBI
OR136524	HA|A/Silver Pheasant/OH/OH22-20552/2022|OR136524	2022-08-31	Central	NCBI
OR136532	HA|A/Swan/OH/OH22-22368-2/2022|OR136532	2022-09-25	Central	NCBI
OR136540	HA|A/Turkey/OH/OH22-21172-1/2022|OR136540	2022-09-12	Central	NCBI
OR136556	HA|A/chicken/OH/OH22-20542-1/2022|OR136556	2022-09-01	Central	NCBI
OR136580	HA|A/chicken/OH/OH22-26275-1/2022|OR136580	2022-11-03	Central	NCBI
OR136604	HA|A/chicken/OH/OH22-7075/2022|OR136604	2022-03-28	Central	NCBI
OR136609	HA|A/goose/OH/OH22-21298/2022|OR136609	2022-09-13	Central	NCBI
EPI2050349	"HA|Seq4_[organism=Influenza_A_virus](A/chicken/Maine/22-009412-001-original/2022(H5N1))_segment_4,_hemagglutinin_HA_(HA)_gene,_comp|EPI2050349"	2022-03-25	Central	GISAID
EPI2050341	"HA|Seq4_[organism=Influenza_A_virus](A/Sebastopol_goose/Massachusetts/22-009371-001-original/2022(H5N1))_segment_4,_hemagglutinin_H|EPI2050341"	2022-03-25	Central	GISAID
