Sequence ID	Sequence name	Collection date	Region	Database
EPI1980460	HA|23458-21_1K_H5|EPI1980460	2021-11-26	North-Central	GISAID
EPI1980573	HA|22684-21_H5|EPI1980573	2021-11-15	North-Central	GISAID
EPI1980556	HA|22380-21_H5|EPI1980556	2021-11-15	North-Central	GISAID
EPI1980589	HA|22750-21_H5|EPI1980589	2021-11-19	North-Central	GISAID
EPI1980637	HA|25827-21_1_H5|EPI1980637	2021-12-25	North-Central	GISAID
EPI1980621	HA|25690-21_H5|EPI1980621	2021-12-22	North-Central	GISAID
EPI1980686	HA|785-22_H5|EPI1980686	2022-01-10	North-Central	GISAID
EPI2026058	HA|A/duck/Czech_Republic/3306-1/2022|EPI2026058	2022-02-09	North-Central	GISAID
EPI2105526	HA|A/Ciconia_ciconia/Spain/485-2_22VIR6312-1/2022_HA|EPI2105526	2022-02-22	South-Western	GISAID
EPI1927117	HA|2021-wk46-05_HA_H5|EPI1927117	2021-11-14	North-Central	GISAID
EPI1927093	HA|2021-wk46-01_HA_H5|EPI1927093	2021-10-19	North-Central	GISAID
EPI1927101	HA|2021-wk46-02_HA_H5|EPI1927101	2021-11-01	North-Central	GISAID
EPI1927109	HA|2021-wk46-03_HA_H5|EPI1927109	2021-11-02	North-Central	GISAID
EPI1995739	HA|A/Greylag_Goose/Netherlands/1/2022_HA_H5N1_HPAI|EPI1995739	2022-02-02	North-Central	GISAID
EPI1995661	HA|A/Barnacle_Goose/Netherlands/9/2022_HA_H5N1_HPAI|EPI1995661	2022-02-07	North-Central	GISAID
EPI1995677	HA|A/Common_Gull/Netherlands/1/2022_HA_H5N1_HPAI|EPI1995677	2022-02-01	North-Central	GISAID
EPI1995618	HA|A/Barnacle_Goose/Netherlands/13/2022_HA_H5N1_HPAI|EPI1995618	2022-02-23	North-Central	GISAID
EPI1995629	HA|A/Barnacle_Goose/Netherlands/14/2022_HA_H5N1_HPAI|EPI1995629	2022-02-23	North-Central	GISAID
EPI1995645	HA|A/Barnacle_Goose/Netherlands/15/2022_HA_H5N1_HPAI|EPI1995645	2022-02-26	North-Central	GISAID
EPI1995569	HA|A/Barnacle_Goose/Netherlands/10/2022_HA_H5N1_HPAI|EPI1995569	2022-02-07	North-Central	GISAID
EPI1927124	HA|A/mute_swan/Czech_Republic/21312/2021|EPI1927124	2021-11-01	North-Central	GISAID
EPI1995847	HA|A/Caspian_Gull/Netherlands/2/2022_HA_H5N1_HPAI|EPI1995847	2022-02-23	North-Central	GISAID
EPI1928148	HA|A/swan/France/21P012384/2021|EPI1928148	2021-11-08	South-Western	GISAID
EPI1994458	HA|A/barnacle_goose/Sweden/SVA220104SZ0295/FB000013/M-2022|EPI1994458	2021-12-25	North-Eastern	GISAID
EPI2026148	HA|A/chicken/Czech_Republic/3306-2/2022|EPI2026148	2022-02-09	North-Central	GISAID
EPI1938820	HA|A/bean_goose/Sweden/SVA211111SZ0372/FB004482/2021|EPI1938820	2021-11-05	North-Eastern	GISAID
EPI1924149	HA|A/Mute_swan/Netherlands/21037283-002/2021|EPI1924149	2021-10-24	North-Central	GISAID
EPI1924131	HA|A/great_skua/Scotland/B07779/2021|EPI1924131	2021-07-29	North-Central	GISAID
EPI1924123	HA|A/mute_swan/England/053054/2021|EPI1924123	2021-10-24	North-Central	GISAID
EPI1987373	HA|A/pigeon/Germany-NW/AI00951/2022|EPI1987373	2022-01-24	North-Central	GISAID
EPI1968921	HA|A/goose/France/21P014207/2021|EPI1968921	2021-12-23	South-Western	GISAID
EPI2026156	HA|A/goose/Czech_Republic/25322-229/2021|EPI2026156	2021-12-18	North-Central	GISAID
EPI1938828	HA|A/western_jackdaw/Sweden/SVA211111SZ0376/FB004483/2021|EPI1938828	2021-11-08	North-Eastern	GISAID
EPI1925532	HA|A/chicken/Netherlands/21038165-006010/2021|EPI1925532	2021-11-07	North-Central	GISAID
EPI1925548	HA|A/goose/Netherlands/21037720-001/2021|EPI1925548	2021-10-28	North-Central	GISAID
EPI1994343	HA|A/Common_Buzzard/Sweden/SVA211223SZ0343/FB004885/M-2021|EPI1994343	2021-12-23	North-Eastern	GISAID
EPI1994466	HA|A/barnacle_goose/Sweden/SVA220105SZ0248/FB000038/K-2021|EPI1994466	2021-12-18	North-Eastern	GISAID
