Sequence ID	Sequence name	Collection date	Region	Database
EPI1942186	HA|A/Chicken/Sweden/SVA211130SZ0427/FB290424/M-2021|EPI1942186	2021-11-30	North-Eastern	GISAID
EPI1982563	HA|A/barnacle_goose/Sweden/SVA211221SZ0510/FB004867/2021|EPI1982563	2021-12-18	North-Eastern	GISAID
EPI1945084	HA|A/Eurasian_curlew/Germany-SH/AI05960/2021|EPI1945084	2021-10-14	North-Central	GISAID
EPI1945092	HA|A/Eurasian_wigeon/Germany-SH/AI05950/2021|EPI1945092	2021-10-14	North-Central	GISAID
EPI1949326	HA|A/Turkey/Sweden/SVA211212SZ0001/FB301013-IP2/M-2021|EPI1949326	2021-12-12	North-Eastern	GISAID
EPI1981020	HA|2022-wk05-33_HA_H5|EPI1981020	2022-01-31	North-Central	GISAID
EPI1980980	HA|2022-wk05-24_HA_H5|EPI1980980	2022-01-11	North-Central	GISAID
EPI1981004	HA|2022-wk05-28_HA_H5|EPI1981004	2022-01-24	North-Central	GISAID
EPI1980988	HA|2022-wk05-25_HA_H5|EPI1980988	2022-01-11	North-Central	GISAID
EPI1981012	HA|2022-wk05-31_HA_H5|EPI1981012	2022-01-31	North-Central	GISAID
EPI1980868	HA|2022-wk05-05_HA_H5|EPI1980868	2022-01-03	North-Central	GISAID
EPI1980876	HA|2022-wk05-06_HA_H5|EPI1980876	2022-01-13	North-Central	GISAID
EPI1980932	HA|2022-wk05-17_HA_H5|EPI1980932	2022-01-04	North-Central	GISAID
EPI1980924	HA|2022-wk05-16_HA_H5|EPI1980924	2022-01-03	North-Central	GISAID
EPI1980940	HA|2022-wk05-18_HA_H5|EPI1980940	2022-01-06	North-Central	GISAID
EPI1980956	HA|2022-wk05-20_HA_H5|EPI1980956	2022-01-06	North-Central	GISAID
EPI1980900	HA|2022-wk05-13_HA_H5|EPI1980900	2022-01-05	North-Central	GISAID
EPI1980916	HA|2022-wk05-15_HA_H5|EPI1980916	2022-01-04	North-Central	GISAID
EPI1980964	HA|2022-wk05-22_HA_H5|EPI1980964	2022-01-10	North-Central	GISAID
EPI1994989	HA|A/Mallard/Netherlands/1/2022_HA_H5N1_HPAI|EPI1994989	2022-02-12	North-Central	GISAID
EPI1940257	HA|22224-2T/2021_H5|EPI1940257	2021-11-12	North-Central	GISAID
EPI1988009	HA|A/red_fox/Netherlands/21040099-006/2021|EPI1988009	2021-12-03	North-Central	GISAID
EPI1949332	HA|A/mute_swan/Croatia/145/2021|EPI1949332	2021-12-29	North-Central	GISAID
EPI1949331	HA|A/mute_swan/Croatia/144/2021|EPI1949331	2021-12-27	North-Central	GISAID
EPI1943557	HA|2021-wk50-03_HA_H5|EPI1943557	2021-11-25	North-Central	GISAID
EPI1943541	HA|2021-wk50-01_HA_H5|EPI1943541	2021-11-24	North-Central	GISAID
EPI1940273	HA|22224-3T/2021_H5|EPI1940273	2021-11-12	North-Central	GISAID
EPI2092553	HA|H5N1_Seg4_HA_flu-2_S96|EPI2092553	2022-05-28	North-Eastern	GISAID
EPI1995013	HA|A/Mallard/Netherlands/5/2021_HA_H5N1_HPAI|EPI1995013	2021-11-29	North-Central	GISAID
EPI1995005	HA|A/Mallard/Netherlands/4/2021_HA_H5N1_HPAI|EPI1995005	2021-11-29	North-Central	GISAID
EPI1982581	HA|A/barnacle_goose/Sweden/SVA211221SZ0510/FB004869/2021|EPI1982581	2021-12-18	North-Eastern	GISAID
EPI2021095	HA|A/mute_swan/Czech_Republic/785/2022|EPI2021095	2022-01-10	North-Central	GISAID
EPI1954257	HA|A/gadwall/Croatia/108/2021|EPI1954257	2021-11-22	North-Central	GISAID
EPI1937607	HA|A/turkey/Poland/H1910-T3/2021|EPI1937607	2021-11-01	North-Eastern	GISAID
EPI2088982	HA|A/Sandwich_Tern/Netherlands/15/2022_HA_H5N1_HPAI|EPI2088982	2022-06-24	North-Central	GISAID
EPI1995045	HA|A/Sanderling/Netherlands/1/2022_HA_H5N1_HPAI|EPI1995045	2022-01-29	North-Central	GISAID
EPI2089014	HA|A/Common_Tern/Netherlands/7/2022_HA_H5N1_HPAI|EPI2089014	2022-06-20	North-Central	GISAID
EPI2089006	HA|A/Common_Tern/Netherlands/6/2022_HA_H5N1_HPAI|EPI2089006	2022-06-20	North-Central	GISAID
EPI1994351	HA|A/Whooper_Swan/Sweden/SVA211223SZ0332/FB004886/M-2021|EPI1994351	2021-12-21	North-Eastern	GISAID
EPI2088887	HA|A/Lesser_Black-backed_Gull/Netherlands/2/2022_HA_H5N1_HPAI|EPI2088887	2022-06-17	North-Central	GISAID
EPI2088895	HA|A/European_Herring_Gull/Netherlands/4/2022_HA_H5N1_HPAI|EPI2088895	2022-06-19	North-Central	GISAID
EPI2088918	HA|A/European_Herring_Gull/Netherlands/5/2022_HA_H5N1_HPAI|EPI2088918	2022-06-07	North-Central	GISAID
EPI2088926	HA|A/European_Herring_Gull/Netherlands/6/2022_HA_H5N1_HPAI|EPI2088926	2022-06-07	North-Central	GISAID
EPI2088934	HA|A/European_Herring_Gull/Netherlands/7/2022_HA_H5N1_HPAI|EPI2088934	2022-06-07	North-Central	GISAID
EPI2088942	HA|A/Sandwich_Tern/Netherlands/12/2022_HA_H5N1_HPAI|EPI2088942	2022-06-07	North-Central	GISAID
EPI2088966	HA|A/Sandwich_Tern/Netherlands/14/2022_HA_H5N1_HPAI|EPI2088966	2022-06-24	North-Central	GISAID
EPI2088950	HA|A/Sandwich_Tern/Netherlands/13/2022_HA_H5N1_HPAI|EPI2088950	2022-06-07	North-Central	GISAID
EPI1946086	HA|A/Gallus_gallus/Belgium/15977/2021|EPI1946086	2021-12-06	North-Central	GISAID
EPI1946078	HA|A/Gallus_gallus/Belgium/16070_003/2021|EPI1946078	2021-12-07	North-Central	GISAID
EPI1982591	HA|A/barnacle_goose/Sweden/SVA211216SZ0382/FB004836/2021|EPI1982591	2021-12-09	North-Eastern	GISAID
EPI1982600	HA|A/barnacle_goose/Sweden/SVA211220SZ0202/FB004847/2021|EPI1982600	2021-12-20	North-Eastern	GISAID
EPI1937639	HA|A/domestic_goose/Poland/H1931-T1/2021|EPI1937639	2021-11-03	North-Eastern	GISAID
EPI2050822	HA|A/Barnacle_goose/Luxembourg/22033922/2022|EPI2050822	2022-02-04	North-Central	GISAID
EPI2050814	HA|A/Canada_goose/Luxembourg/22012198/2022|EPI2050814	2022-01-17	North-Central	GISAID
EPI1937647	HA|A/chicken/Poland/H1940-N/2021|EPI1937647	2021-11-05	North-Eastern	GISAID
EPI2050784	HA|A/Grey_heron/Luxembourg/21243177/2021|EPI2050784	2021-12-14	North-Central	GISAID
EPI2050799	HA|A/Great_cormorant/Luxembourg/21243185/2021|EPI2050799	2021-12-14	North-Central	GISAID
EPI2050752	HA|A/Greylag_goose/Luxembourg/21217773/2021|EPI2050752	2021-11-24	North-Central	GISAID
EPI2050760	HA|A/Canada_goose/Luxembourg/21217776/2021|EPI2050760	2021-11-24	North-Central	GISAID
EPI2050768	HA|A/Canada_goose/Luxembourg/21237199/2021|EPI2050768	2021-12-09	North-Central	GISAID
EPI1958449	HA|2022-wk02-12_HA_H5|EPI1958449	2021-12-26	North-Central	GISAID
EPI1958441	HA|2022-wk02-11_HA_H5|EPI1958441	2021-12-24	North-Central	GISAID
EPI1958425	HA|2022-wk02-09_HA_H5|EPI1958425	2021-12-17	North-Central	GISAID
EPI1958457	HA|2022-wk02-13_HA_H5|EPI1958457	2022-01-08	North-Central	GISAID
EPI1923252	HA|A/chicken/Netherlands/21037233-001/2021|EPI1923252	2021-10-22	North-Central	GISAID
EPI1941530	HA|A/mute_swan/Croatia/101/2021|EPI1941530	2021-11-12	North-Central	GISAID
EPI1982835	HA|A/great_black-backed_gull/Sweden/SVA211221SZ0509/FB004872/2021|EPI1982835	2021-12-21	North-Eastern	GISAID
EPI1950865	HA|A/mute_swan/Croatia/146/2021|EPI1950865	2021-12-29	North-Central	GISAID
EPI1965994	HA|A/Anser_albifrons/Belgium/15465_0010/2021|EPI1965994	2021-11-21	North-Central	GISAID
EPI1927502	HA|A/waterfowl/Netherlands/21037914-006/2021|EPI1927502	2021-11-02	North-Central	GISAID
EPI2013082	HA|A/Gallus_gallus/Belgium/4190_0002/2022|EPI2013082	2022-03-28	North-Central	GISAID
EPI1950879	HA|A/Cygnus_olor/Romania/16381_21VIR10306/2021|EPI1950879	2021-11-11	North-Central	GISAID
EPI2078354	HA|A/gull/France/22P015977/2022|EPI2078354	2022-05-11	South-Western	GISAID
EPI2082821	HA|2022-wk26-01_HA_H5|EPI2082821	2022-06-06	North-Central	GISAID
