species,longitude,latitude,ed_c10_Cropland,pland_c10_Cropland,ed_c20_Forest_land,pland_c20_Forest_land,ed_c30_Grassland,pland_c30_Grassland,ed_c40_Shrubland,pland_c40_Shrubland,ed_c50_Wetland,pland_c50_Wetland,ed_c60_Water_bodies,pland_c60_Water_bodies,ed_c70_Tundra,pland_c70_Tundra,ed_c80_Impervious_surfaces,pland_c80_Impervious_surfaces,ed_c90_Bare_land,pland_c90_Bare_land,ed_c100_Permanent_snow_and_glaciers,pland_c100_Permanent_snow_and_glaciers,elevation_mean,elevation_sd,gpp_mean,gpp_sd,temp_mean,temp_sd,pre_mean,pre_sd,rh_mean,rh_sd,bird_abundance_mean,bird_abundance_sd
background,-84.06203499715372,32.307827965493765,321223.57331923814,20.859419464997153,376027.98967449286,76.01024473534433,27877.390978395422,0.6829823562891292,1267.1541353816096,0.028457598178713718,0,0,0,0,0,0,66842.38064137995,2.418895845190666,0,0,0,0,128.95301818847656,22.085376739501953,57.34449768066406,6.2223310470581055,14.48410701751709,0.25618380308151245,0.0027301216032356024,2.5980707141570747e-4,74.3268051147461,0.2992022633552551,11.218122482299805,0.9556744694709778
background,-161.7758868671131,60.71753581074137,0,0,66362.83160874345,7.140484888741281,14788.374731753407,0.5313849219528396,0,0,34382.97125132667,1.345068083693125,166369.21573222586,12.636997675190967,254544.90007030556,78.34606443042179,0,0,0,0,0,0,8.705365180969238,8.413439750671387,14.548063278198242,4.819756507873535,-7.189143180847168,0.20062679052352905,0.0034104143269360065,1.1368090781616047e-4,88.03605651855469,0.18314146995544434,0.01959066279232502,0.007547926623374224
background,-91.98233004904414,34.93542792521283,163305.631252473,24.070992789794783,391130.87863304984,57.84803105934554,238321.26148754105,8.735440931780367,8026.363728854997,0.19412090959511924,6174.125945273078,0.1386577925679423,17287.55264676462,0.5546311702717692,0,0,140152.65895769894,8.458125346644481,0,0,0,0,88.757293701171875,24.946157455444336,41.0078010559082,6.920024871826172,13.200945854187012,0.3556451201438904,0.004035083577036858,4.7435666783712804e-4,73.63619232177734,0.6005343794822693,459.74285888671875,550.1268310546875
background,-146.66017899491035,64.93504286936232,0,0,52591.885414145385,97.06513958482462,24383.510510194676,1.0880458124552612,0,0,0,0,0,0,35539.36499198309,1.8468146027201144,0,0,0,0,0,0,445.0384826660156,195.59889221191406,0,0,-17.58776092529297,0.6853109002113342,0.003946084063500166,1.6080170462373644e-4,77.4607925415039,0.5681312680244446,0.022344954311847687,0.013106362894177437
background,-106.42259473410579,43.07608819662874,49877.270616385395,3.323485967503693,0,0,269666.1224534242,73.48596750369278,189643.24871724544,20.580994583948794,0,0,1644.3056247159996,0.04923682914820286,0,0,41655.74249280539,2.5603151157065485,0,0,0,0,1671.013671875,53.842369079589844,7.498923301696777,1.2431538105010986,-1.4348461627960205,0.16447368264198303,6.769815227016807e-4,3.859762364299968e-5,55.965152740478516,0.6513850688934326,6.011167526245117,5.514092445373535
background,-102.94992027445025,44.59211373412069,113990.73540484939,5.607032549299121,0,0,113990.73540484939,94.39296745070088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,844.36236572265625,44.89209747314453,9.803084373474121,1.4451770782470703,-2.8689188957214355,0.38595491647720337,5.074255750514567e-4,4.0935410652309656e-5,59.54829788208008,1.4676052331924438,0.42495518922805786,0.3991418182849884
background,-85.93993390919275,33.46841321687939,56209.277438634694,2.172073342736248,171453.9971033216,91.48095909732017,65629.82673002603,2.002820874471086,2512.1464777043434,0.08462623413258111,1884.1098582782613,0.05641748942172074,8478.494362252168,0.31029619181946405,0,0,71910.19292428685,3.8928067700987308,0,0,0,0,259.3712158203125,81.41350555419922,51.549964904785156,5.755448818206787,13.053680419921875,0.19153815507888794,0.004481037147343159,2.0893670443911105e-4,77.93950653076172,0.4728357195854187,9.785636901855469,3.1678965091705322
background,-75.9897924454107,43.893746903518114,308306.70699469966,27.865277441240615,378167.9818080218,53.598255391325424,1618.4079107333318,0.04846135207172281,0,0,0,0,53677.19570598882,16.331475648170585,0,0,39381.25916117773,2.156530167191665,0,0,0,0,208.10455322265625,140.29884338378906,22.697874069213867,4.184253692626953,0.6046873927116394,1.0436365604400635,0.0034228586591780186,4.595658101607114e-4,76.81771087646484,1.3989351987838745,95.24532318115234,53.61212921142578
background,-121.03369969366477,38.72324586156766,144971.5125916587,9.074267782426778,251516.84112287778,42.36401673640168,219786.1285275147,17.259414225941423,238417.00564772793,8.263598326359832,3493.289460039971,0.07845188284518828,8151.008740093266,0.8106694560669455,0,0,214837.30179245814,22.149581589958157,0,0,0,0,302.5757751464844,228.5044708251953,56.8781623840332,16.263948440551758,7.52479362487793,0.9386950135231018,0.009497004561126232,0.0017153099179267883,79.9379653930664,2.417491912841797,77.62804412841797,147.6555938720703
background,-88.31256288636263,44.3898525366923,224138.59464510612,70.96463796006735,178346.83874986938,10.392109694491218,7498.0652927873,0.19244647582391144,2677.8804617097508,0.0721674284339668,0,0,21423.043693678,3.6083714216983394,0,0,109525.31088392879,14.770267019485203,0,0,0,0,237.4447021484375,24.291248321533203,12.85653018951416,1.9179987907409668,-1.8489735126495361,0.36739352345466614,0.001883243559859693,6.388736073859036e-5,71.4886703491211,0.36026766896247864,30.174785614013672,17.56484603881836
