year	month	from	to	n_jump
2023	8	North-Central	North-Eastern	1
2023	9	North-Central	North-Eastern	1
2023	10	North-Central	North-Eastern	2
2023	11	North-Central	North-Eastern	2
2023	12	North-Central	North-Eastern	1
2023	1	North-Central	South-Western	3
2023	2	North-Central	South-Western	2
2023	3	North-Central	South-Western	1
2023	4	North-Central	South-Western	1
2023	5	North-Central	South-Western	1
2023	6	North-Central	South-Western	1
2023	7	North-Central	South-Western	1
2023	8	North-Central	South-Western	1
2023	9	North-Central	South-Western	1
2023	10	North-Central	South-Western	2
2023	11	North-Central	South-Western	1
2023	12	North-Central	South-Western	1
2023	1	North-Eastern	North-Central	1
2023	2	North-Eastern	North-Central	1
2023	3	North-Eastern	North-Central	1
2023	4	North-Eastern	North-Central	1
2023	5	North-Eastern	North-Central	1
2023	6	North-Eastern	North-Central	1
2023	7	North-Eastern	North-Central	1
2023	8	North-Eastern	North-Central	1
2023	9	North-Eastern	North-Central	1
2023	10	North-Eastern	North-Central	1
2023	11	North-Eastern	North-Central	1
2023	12	North-Eastern	North-Central	1
2023	1	North-Eastern	South-Western	1
2023	2	North-Eastern	South-Western	1
2023	3	North-Eastern	South-Western	1
2023	4	North-Eastern	South-Western	1
2023	5	North-Eastern	South-Western	1
2023	6	North-Eastern	South-Western	1
2023	7	North-Eastern	South-Western	1
2023	8	North-Eastern	South-Western	1
2023	9	North-Eastern	South-Western	1
2023	10	North-Eastern	South-Western	1
2023	11	North-Eastern	South-Western	1
2023	12	North-Eastern	South-Western	NA
2023	1	South-Western	North-Central	1
2023	2	South-Western	North-Central	2
2023	3	South-Western	North-Central	2
2023	4	South-Western	North-Central	1
2023	5	South-Western	North-Central	1
2023	6	South-Western	North-Central	1
2023	7	South-Western	North-Central	1
2023	8	South-Western	North-Central	1
2023	9	South-Western	North-Central	1
2023	10	South-Western	North-Central	1
2023	11	South-Western	North-Central	1
2023	12	South-Western	North-Central	1
2023	1	South-Western	North-Eastern	1
2023	2	South-Western	North-Eastern	1
2023	3	South-Western	North-Eastern	1
2023	4	South-Western	North-Eastern	1
2023	5	South-Western	North-Eastern	1
2023	6	South-Western	North-Eastern	1
2023	7	South-Western	North-Eastern	1
2023	8	South-Western	North-Eastern	1
2023	9	South-Western	North-Eastern	1
2023	10	South-Western	North-Eastern	1
2023	11	South-Western	North-Eastern	1
2023	12	South-Western	North-Eastern	1
